instance,source,domain,stratum,declared_result,distinct_definite_answers,modes_solved,modes_run,answer_A_cadical,answer_B_kissat,answer_C_lkk_cadical,answer_D_lkk_kissat,answer_E_lkk_selector,conflicting_answers,disagrees_with_declared,passed
aim-50-3_4-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-3_4-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-6_0-yes1-1.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-6_0-yes1-2.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-6_0-yes1-3.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
aim-50-6_0-yes1-4.cnf,SATLIB,crafted_structured,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ais10.cnf,SATLIB,matching_capacity,structural_not_closed_by_flow,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ais12.cnf,SATLIB,matching_capacity,structural_not_closed_by_flow,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ais8.cnf,SATLIB,matching_capacity,structural_not_closed_by_flow,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
anomaly.cnf,SATLIB,planning_scheduling,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
apn-sbox5-cut3-symmbreak.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
asconhashv12_opt64_H11_M2-tBi5i1RIgRz_m0_1_U23.c.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
asconhashv12_opt64_H5_M2-xEJ8F_m0_3_U5.c.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
asconhashv12_opt64_H6_M2-PgbpwX_m0_4_U1.c.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
barman-pfile06-022.sas.ex.7.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,2,5,UNSATISFIABLE,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
battleship-14-26-sat.cnf,SATComp2024,competition_main,matching_hall_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bf1355-075.cnf,SATLIB,eda_circuit_fault,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
bf1355-638.cnf,SATLIB,eda_circuit_fault,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
bf2670-001.cnf,SATLIB,eda_circuit_fault,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
bmc-galileo-8.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-1.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-10.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-11.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-12.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-13.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-2.cnf,SATLIB,eda_formal_verification,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-3.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-4.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-5.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-6.cnf,SATLIB,eda_formal_verification,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bmc-ibm-7.cnf,SATLIB,eda_formal_verification,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bphp_p23_h22.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
bvsub_19952.smt2.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
bw_large.a.cnf,SATLIB,planning_scheduling,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bw_large.c.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
bw_large.d.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
circuit_32in32out_with_350gates_6in6out_dist64_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
circuit_32in32out_with_64gates_8in6out_dist128_seed2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
circuit_32in32out_with_70gates_7in7out_dist128_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
circuit_32in32out_with_80gates_7in7out_dist128_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
circuit_32in64out_with_150gates_6in6out_dist256_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
circuit_48in64out_with_1000gates_4in4out_dist128_seed4.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
circuit_48in64out_with_700gates_4in4out_dist128_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
circuit_48in64out_with_800gates_4in4out_dist128_seed4.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
circuit_64in64out_with_64gates_8in5out_dist256_seed1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
clique_n2_k10.sanitized.cnf,SATComp2024,competition_main,resource_allocation_like,,UNSATISFIABLE,2,5,TIMEOUT,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,TIMEOUT,False,False,True
cliquecolouring_n13_k9_c8.sanitized.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
cliquecolouring_n15_k9_c8.sanitized.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
cliquecolouring_n21_k6_c5.sanitized.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
cliquecolouring_n31_k5_c4.sanitized.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,1,5,SATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_16_0.3_1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_16_0.4_1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_16_0.5_1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_17_0.3_2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,2,5,UNSATISFIABLE,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_17_0.4_1.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
constraints_17_0.4_2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,2,5,UNSATISFIABLE,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_17_0.5_2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_18_0.3_2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_18_0.4_2.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
constraints_25_4_5_12_12_0_0_0.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
crn_11_99_u.cnf,SATComp2024,competition_main,cardinality_exact_r_heavy,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
ctl_4201_555_unsat_pre.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ctl_4291_567_2_unsat-sc2013.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
ctl_4291_567_9_unsat.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
dubois20.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois21.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois22.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois23.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois24.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois26.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois27.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois28.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois29.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois30.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
dubois50.cnf,SATLIB,crafted_parity,cardinality_exact_r_heavy,UNSATISFIABLE,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
e0ddr2-10-by-5-1.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ecarev-110-4099-22-30-7.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
enddr2-10-by-5-1.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
enddr2-10-by-5-8.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ewddr2-10-by-5-1.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ewddr2-10-by-5-8.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
ex065_25.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
exam_flat_0.04_2018_3.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
f1000.cnf,SATLIB,random_control,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
f2000.cnf,SATLIB,random_control,resource_allocation_like,,SATISFIABLE,1,5,SATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
f600.cnf,SATLIB,random_control,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
f9idw.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
fermat-931960058139995587.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
fixedbandwidth-eq-31_shuffled.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
flat100-1.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-10.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-100.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-11.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-12.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-14.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-15.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-16.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-17.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-19.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-2.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-20.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-21.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-22.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-23.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-24.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-25.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-26.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-28.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-29.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-3.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-30.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-31.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-32.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-33.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-35.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-37.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-38.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-39.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-4.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-41.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-42.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-43.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-44.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-46.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-47.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-48.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-49.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-5.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-50.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-51.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
flat100-52.cnf,SATLIB,matching_capacity,resource_allocation_like,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
